binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1
20,False,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8507129969742145,,,
20,True,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,1.0077978488119064,,,
100,False,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8377193154052759,,,
100,True,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.9525702658166944,,,
400,False,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8354209841359806,,,
400,True,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.9249660136428801,,,
1000,False,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8415911370917531,,,
1000,True,,2,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.9146493301506975,,,
20,False,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8138019075516267,,,
20,True,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.9932115678292756,,,
100,False,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.7781063027775513,,,
100,True,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.9232727749730264,,,
400,False,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.7709040924225233,,,
400,True,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.894059743069871,,,
1000,False,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.7747650282286436,,,
1000,True,,3,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8830145767917473,,,
20,False,,4,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.7734411819382929,,,
20,True,,4,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8855654333761313,,,
100,False,,4,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.7231097523675023,,,
100,True,,4,LS_KDEx_LGBM,7.5,2.5,0.75,dummyID,wage,0.8339465932826852,,,
