mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_node_size,param_num_features,param_num_trees,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,cu,co,tau,variable
1.8294071674346923,0.24546803059605235,0.2006528377532959,0.015574408899397903,8,8,500,"OrderedDict([('min_node_size', 8), ('num_features', 8), ('num_trees', 500)])",-0.027681521076245882,-0.026782504765151465,-0.02435919945423528,-0.021815531938811396,-0.022822403725548297,-0.02469223219199846,0.002244444746863545,13,DRF,9.0,1.0,0.9,dummyID
1.4249382972717286,0.17689777953007668,0.15792326927185057,0.011903283021744128,4,8,100,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 100)])",-0.027716648272686353,-0.02664763461674375,-0.02377262671312998,-0.02179690096026352,-0.02224661926563822,-0.024436085965692363,0.002360181204457573,5,DRF,9.0,1.0,0.9,dummyID
1.192256546020508,0.1812643440694151,0.1423884868621826,0.014040411646528958,4,8,100,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 100)])",-0.027716648272686353,-0.02664763461674375,-0.02377262671312998,-0.02179690096026352,-0.02224661926563822,-0.024436085965692363,0.002360181204457573,5,DRF,9.0,1.0,0.9,dummyID
1.188051128387451,0.23159933802524843,0.14369592666625977,0.01620985308319876,32,8,50,"OrderedDict([('min_node_size', 32), ('num_features', 8), ('num_trees', 50)])",-0.028143558169456125,-0.02731192723636065,-0.02515133746320674,-0.022778807254774398,-0.023693200413878575,-0.0254157661075353,0.002050706396713342,31,DRF,9.0,1.0,0.9,dummyID
1.1366835594177247,0.20533246652956605,0.12781081199645997,0.013283140370858293,2,8,50,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 50)])",-0.02758222807236006,-0.027506021397430108,-0.025088580797423862,-0.023001767793059614,-0.02240018966981137,-0.025115757546017005,0.0021744350198727074,27,DRF,9.0,1.0,0.9,dummyID
1.4010347366333007,0.24433072647421905,0.29172258377075194,0.053738347596592066,32,8,500,"OrderedDict([('min_node_size', 32), ('num_features', 8), ('num_trees', 500)])",-0.028807549525884275,-0.027660366354438026,-0.025193978628163496,-0.022697093472397258,-0.023663551221582136,-0.025604507840493042,0.0023184018377405487,35,DRF,9.0,1.0,0.9,dummyID
1.1811463832855225,0.24183127948642777,0.14123945236206054,0.012928380358651681,1,8,100,"OrderedDict([('min_node_size', 1), ('num_features', 8), ('num_trees', 100)])",-0.028287348691061705,-0.02656963120553944,-0.024251180191345954,-0.022150532177512595,-0.022226217151754504,-0.02469698188344284,0.0024160038455956043,14,DRF,9.0,1.0,0.9,dummyID
1.3221107959747314,0.20509048171725536,0.22514548301696777,0.07201774021216757,1,8,250,"OrderedDict([('min_node_size', 1), ('num_features', 8), ('num_trees', 250)])",-0.027835121603437506,-0.02591331643945734,-0.024486825430888055,-0.021739066954604855,-0.02233968205502646,-0.024462802496682843,0.0022540399140339854,7,DRF,9.0,1.0,0.9,dummyID
1.2174903869628906,0.21242005848212392,0.1377793312072754,0.014176161576081621,2,8,100,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 100)])",-0.028287348691061705,-0.02656963120553944,-0.024251180191345954,-0.022150532177512595,-0.022226217151754504,-0.02469698188344284,0.0024160038455956043,14,DRF,9.0,1.0,0.9,dummyID
2.3642669200897215,0.37112492257843377,0.17155065536499023,0.01359933190260554,16,64,250,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 250)])",-0.02810212907003647,-0.027032824950755253,-0.024707497962849934,-0.022241598612802407,-0.023176596800293735,-0.025052129479347558,0.00222535972453097,24,DRF,9.0,1.0,0.9,dummyID
1.8636250495910645,0.29389523370791065,0.15521535873413086,0.015723941799464534,4,64,100,"OrderedDict([('min_node_size', 4), ('num_features', 64), ('num_trees', 100)])",-0.027844654655465796,-0.027454179203723183,-0.024060834745215937,-0.022327552907615032,-0.022457791022463286,-0.024829002506896646,0.0023856104578271436,17,DRF,9.0,1.0,0.9,dummyID
1.85345139503479,0.33464117755649203,0.15194783210754395,0.01810022723505364,8,64,100,"OrderedDict([('min_node_size', 8), ('num_features', 64), ('num_trees', 100)])",-0.027775121733194248,-0.027226598384035797,-0.024888666629332416,-0.021920606550683445,-0.02284094475704225,-0.024930387610857634,0.002314795466190851,21,DRF,9.0,1.0,0.9,dummyID
1.5529849529266357,0.22624827229470157,0.150449800491333,0.009044468689445318,16,64,100,"OrderedDict([('min_node_size', 16), ('num_features', 64), ('num_trees', 100)])",-0.028228218612746776,-0.02668798949612126,-0.024774850565864207,-0.021981197678382934,-0.023642981904495066,-0.025063047651522046,0.0022025524627172126,25,DRF,9.0,1.0,0.9,dummyID
1.2457638263702393,0.15664582610411792,0.24939899444580077,0.05769450480735478,128,64,100,"OrderedDict([('min_node_size', 128), ('num_features', 64), ('num_trees', 100)])",-0.031961346364515586,-0.03094011609393533,-0.026342522459442814,-0.023910101681344983,-0.024256887769818665,-0.027482194873811473,0.0033609917031752557,45,DRF,9.0,1.0,0.9,dummyID
1.4173166751861572,0.1878793157653427,0.16756410598754884,0.014024042413081849,32,64,100,"OrderedDict([('min_node_size', 32), ('num_features', 64), ('num_trees', 100)])",-0.029012301494363957,-0.027984784884233962,-0.025320673191852477,-0.02288647887944686,-0.023547529929987748,-0.025750353675977,0.002402990762314506,37,DRF,9.0,1.0,0.9,dummyID
