binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
400,True,0.4380294948227174,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.6711385061638869,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
20,True,0.695794053662074,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.6936185641769399,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
100,True,0.7121102248005802,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.8919506889050036,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
400,True,0.71464829586657,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
20,False,0.6258300132802125,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
20,True,0.6181938911022576,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
100,False,0.5962815405046481,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
100,True,0.6328021248339973,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
400,False,0.8399734395750332,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
400,True,0.6254980079681275,4,LS_KDEx_MLP,9.0,1.0,0.9,17.0_109.0,bakery,,,,,,,,,,,,,,
20,False,1.002458210422812,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.0496558505408065,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.9478859390363816,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,True,0.9791052114060964,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.9577187807276304,0,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.992737430167598,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.4793296089385477,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
