mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_node_size,param_num_features,param_num_trees,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,cu,co,tau,variable
64.62499361038208,12.685041939833985,8.264958477020263,0.7626351932800662,8,4,500,"OrderedDict([('min_node_size', 8), ('num_features', 4), ('num_trees', 500)])",-0.014431458362468244,-0.015198176819459357,-0.014608503566545781,-0.017012358246310245,-0.01724939595363775,-0.015699978589684273,0.0011979399684824343,10,DRF,9.0,1.0,0.9,dummyID
62.732423877716066,12.742443906927926,7.842821788787842,0.8787801629952533,4,4,50,"OrderedDict([('min_node_size', 4), ('num_features', 4), ('num_trees', 50)])",-0.014498584028926873,-0.015352491219935668,-0.014645636135502316,-0.017189850575976988,-0.01710141787046009,-0.015757595966160387,0.0011698620565112785,12,DRF,9.0,1.0,0.9,dummyID
64.01559867858887,13.663357158363613,7.69577431678772,0.6727612040462818,8,4,20,"OrderedDict([('min_node_size', 8), ('num_features', 4), ('num_trees', 20)])",-0.014949498563718258,-0.01549790526151836,-0.014596946841360018,-0.017037148206167675,-0.01751738518618206,-0.015919776811789275,0.001155003546763273,21,DRF,9.0,1.0,0.9,dummyID
63.943633794784546,12.466616521062496,7.812092399597168,0.7477715922697741,16,4,10,"OrderedDict([('min_node_size', 16), ('num_features', 4), ('num_trees', 10)])",-0.015134843069844105,-0.01614070489669897,-0.015379938795541621,-0.017109101827600264,-0.01790142567963676,-0.016333202853864345,0.0010433768302083246,37,DRF,9.0,1.0,0.9,dummyID
64.29257974624633,13.859366904564796,7.731176137924194,0.8568410845357215,4,4,10,"OrderedDict([('min_node_size', 4), ('num_features', 4), ('num_trees', 10)])",-0.015682137266021225,-0.01630127822493566,-0.014742298330990578,-0.01765511645326543,-0.01767283160927334,-0.016410732376897247,0.0011373556536455596,40,DRF,9.0,1.0,0.9,dummyID
65.4247519493103,13.424615562855356,8.681045198440552,1.1979285259949404,32,4,250,"OrderedDict([('min_node_size', 32), ('num_features', 4), ('num_trees', 250)])",-0.015004892266946821,-0.01583330000132114,-0.0153233080863368,-0.01732131874215032,-0.017702933679283335,-0.01623715055520768,0.0010807964323754542,33,DRF,9.0,1.0,0.9,dummyID
71.40420756340026,18.65577862148473,8.54794521331787,1.2818567835475432,2,4,50,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 50)])",-0.01455641259171419,-0.015415413191305868,-0.014523516095119668,-0.016865285147913505,-0.017043653548526445,-0.015680856114915938,0.0010894363756778081,8,DRF,9.0,1.0,0.9,dummyID
75.11240310668946,13.949597691104596,8.472529792785645,0.44534945028332235,2,4,250,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 250)])",-0.014357926203113136,-0.015100186179914538,-0.014371135732074663,-0.016980189788219042,-0.016988704456408994,-0.015559628471946075,0.0011939801654979303,2,DRF,9.0,1.0,0.9,dummyID
67.86658396720887,9.126474716875151,7.746487474441528,0.5520385338669054,4,4,20,"OrderedDict([('min_node_size', 4), ('num_features', 4), ('num_trees', 20)])",-0.014901555924107916,-0.015449438233410617,-0.01470241540000048,-0.0170555084647053,-0.01715497978117874,-0.01585277956068061,0.0010519629809149758,16,DRF,9.0,1.0,0.9,dummyID
63.50887398719787,12.59892794414194,7.699536323547363,0.7547751684034621,16,20,100,"OrderedDict([('min_node_size', 16), ('num_features', 20), ('num_trees', 100)])",-0.014774456062889072,-0.015522548712198945,-0.014828521306939303,-0.017203008746499302,-0.017303474133699533,-0.015926401792445234,0.001115479393167676,22,DRF,9.0,1.0,0.9,dummyID
62.65222420692444,12.267663098960908,7.538563680648804,0.8424758281733298,32,4,10,"OrderedDict([('min_node_size', 32), ('num_features', 4), ('num_trees', 10)])",-0.015032512307634822,-0.016298459970108994,-0.015548519787362984,-0.017238628178303888,-0.017900874191259887,-0.016403798886934114,0.001054627888942684,39,DRF,9.0,1.0,0.9,dummyID
64.1099283695221,12.361749995160398,9.18135142326355,1.0967808391649232,64,20,250,"OrderedDict([('min_node_size', 64), ('num_features', 20), ('num_trees', 250)])",-0.015156318801859798,-0.016598749342428998,-0.015922783463459624,-0.01775587120596476,-0.018003056900930663,-0.01668735594292877,0.0010778952464478488,45,DRF,9.0,1.0,0.9,dummyID
63.557794427871706,12.734690198082996,7.737353897094726,0.6375584929056362,16,20,10,"OrderedDict([('min_node_size', 16), ('num_features', 20), ('num_trees', 10)])",-0.015113119946923688,-0.01604613196056529,-0.014831214074272923,-0.017211937689918553,-0.017224906596377508,-0.016085462053611593,0.0010087036480121042,28,DRF,9.0,1.0,0.9,dummyID
62.936639642715456,12.703972368353014,7.691283321380615,0.7382780502004614,2,4,100,"OrderedDict([('min_node_size', 2), ('num_features', 4), ('num_trees', 100)])",-0.014328887651001888,-0.015158968678820507,-0.014471493471612801,-0.01687371112789307,-0.017167908333486855,-0.015600193852563024,0.001197032882279467,6,DRF,9.0,1.0,0.9,dummyID
63.35103840827942,13.251417179349806,7.7015910148620605,0.862122620171356,64,20,10,"OrderedDict([('min_node_size', 64), ('num_features', 20), ('num_trees', 10)])",-0.015241034420734564,-0.016857285371474625,-0.0157015745283501,-0.01770946626483939,-0.017988849658929936,-0.016699642048865725,0.0010798451383905098,47,DRF,9.0,1.0,0.9,dummyID
