mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_node_size,param_num_features,param_num_trees,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,cu,co,tau,variable
66.10797281265259,13.169584255768232,10.336235284805298,0.8446355572136213,8,7,500,"OrderedDict([('min_node_size', 8), ('num_features', 7), ('num_trees', 500)])",-0.022928830636990402,-0.0257144317158823,-0.021229009925121757,-0.020411970949156137,-0.020971602259384173,-0.022251169097306952,0.0019244824562329964,17,DRF,9.0,1.0,0.9,dummyID
64.4841757774353,12.449731979555262,9.622413969039917,1.0640810009117607,4,7,50,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 50)])",-0.02246522198908575,-0.025832841620495435,-0.021472626984219104,-0.020286488828080484,-0.0210319874973155,-0.02221783338383925,0.0019401618752453113,16,DRF,9.0,1.0,0.9,dummyID
64.53460659980774,13.171923854419614,9.62940435409546,0.7626604630629853,8,7,20,"OrderedDict([('min_node_size', 8), ('num_features', 7), ('num_trees', 20)])",-0.022890927139305094,-0.025840347360278095,-0.021531071610828453,-0.020633263692076114,-0.02126191865230083,-0.02243150569095772,0.0018570761564292763,22,DRF,9.0,1.0,0.9,dummyID
64.23156476020813,12.931149075431678,9.675954341888428,0.9162368550336296,16,7,10,"OrderedDict([('min_node_size', 16), ('num_features', 7), ('num_trees', 10)])",-0.022900537942069817,-0.027271331569557588,-0.021702798237614587,-0.02091292319038334,-0.021474167865141645,-0.022852351760953394,0.002302691980745191,32,DRF,9.0,1.0,0.9,dummyID
64.64924364089966,12.813451354639536,9.270083665847778,0.956569560963381,4,7,10,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 10)])",-0.023167361224596845,-0.026624655263525455,-0.022904877362271252,-0.020922231691625257,-0.02172612093212224,-0.023069049294828208,0.0019540334629883907,37,DRF,9.0,1.0,0.9,dummyID
65.63082799911498,13.101866492308186,10.310067653656006,0.9773498252871512,32,7,250,"OrderedDict([('min_node_size', 32), ('num_features', 7), ('num_trees', 250)])",-0.023564325138186654,-0.026388333625528563,-0.02196821925638457,-0.021123922592636415,-0.021916624139792566,-0.022992284950505752,0.0018738682560590703,34,DRF,9.0,1.0,0.9,dummyID
65.39962882995606,12.905011584596766,9.395290851593018,0.9480519738954498,2,7,50,"OrderedDict([('min_node_size', 2), ('num_features', 7), ('num_trees', 50)])",-0.02276740187622064,-0.025679535291664488,-0.02133968995772041,-0.020445202213234603,-0.02071398447640888,-0.022189162763049806,0.0019212607467072992,15,DRF,9.0,1.0,0.9,dummyID
66.2549252986908,13.617562925258703,9.648013496398926,0.8904009766358497,2,7,250,"OrderedDict([('min_node_size', 2), ('num_features', 7), ('num_trees', 250)])",-0.022761171678611702,-0.025439593811120043,-0.02114892935815651,-0.020355969639397592,-0.0207862633853922,-0.02209838557453561,0.0018580690480744962,10,DRF,9.0,1.0,0.9,dummyID
65.43037023544312,13.020334015748661,9.337531089782715,0.8100524915619771,4,7,20,"OrderedDict([('min_node_size', 4), ('num_features', 7), ('num_trees', 20)])",-0.022879236772590177,-0.026123775540976238,-0.021713651544073884,-0.020266429457239474,-0.02138930894954162,-0.02247448045288428,0.0020056484905302103,24,DRF,9.0,1.0,0.9,dummyID
67.83596158027649,13.156188332310427,9.527219104766846,0.9176832663995883,16,57,100,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 100)])",-0.022866089405757406,-0.025873640105812414,-0.021278411491347217,-0.020544760049500982,-0.021329255411339027,-0.022378431292751407,0.0019040724200524634,21,DRF,9.0,1.0,0.9,dummyID
64.39127202033997,12.781116852047356,9.501389932632446,0.9841142789151894,32,7,10,"OrderedDict([('min_node_size', 32), ('num_features', 7), ('num_trees', 10)])",-0.023784415297760104,-0.026751015049293943,-0.022287765078005412,-0.021327818621806507,-0.022291540091716158,-0.023288510827716425,0.001901294998582435,40,DRF,9.0,1.0,0.9,dummyID
69.98148183822632,13.807484313127986,11.178357696533203,1.237772087277822,64,57,250,"OrderedDict([('min_node_size', 64), ('num_features', 57), ('num_trees', 250)])",-0.024103575664605564,-0.026838895622263916,-0.022437126245245468,-0.021788095411030085,-0.02249245686054767,-0.02353202996073854,0.0018211457429592136,41,DRF,9.0,1.0,0.9,dummyID
67.26246876716614,13.312580560299613,9.665047407150269,0.9321964664171969,16,57,10,"OrderedDict([('min_node_size', 16), ('num_features', 57), ('num_trees', 10)])",-0.023481856348360076,-0.02624282125998772,-0.0214510930274066,-0.020722224675213955,-0.021683283075064886,-0.022716255677206646,0.0019832618466283846,28,DRF,9.0,1.0,0.9,dummyID
74.5933784008026,14.754278309757709,11.66360764503479,0.9036530504446986,32,57,500,"OrderedDict([('min_node_size', 32), ('num_features', 57), ('num_trees', 500)])",-0.0234561893155668,-0.0262338139833492,-0.0217024453697874,-0.020921597927351203,-0.02161377857241255,-0.02278556503369343,0.001916286139225934,30,DRF,9.0,1.0,0.9,dummyID
67.70111865997315,13.939419922231354,9.771080160140992,0.9893998579294274,32,57,10,"OrderedDict([('min_node_size', 32), ('num_features', 57), ('num_trees', 10)])",-0.023493506486639774,-0.026608646506359482,-0.02213351484658556,-0.020749524771632392,-0.022255378581478344,-0.02304811423853911,0.0019811208792988944,36,DRF,9.0,1.0,0.9,dummyID
