mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_node_size,param_num_features,param_num_trees,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,cu,co,tau,variable
61.255051136016846,11.860867368713215,9.309076976776122,0.7849275037853931,8,8,500,"OrderedDict([('min_node_size', 8), ('num_features', 8), ('num_trees', 500)])",-0.0196242198895769,-0.017660411056397474,-0.01907174361335294,-0.01955950148748087,-0.016540548266716817,-0.018491284862705,0.0012047643290453178,3,DRF,9.0,1.0,0.9,dummyID
59.70212564468384,10.925264127264885,8.625116729736328,1.0249753913721436,4,8,50,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 50)])",-0.01988068341651968,-0.01812715649119056,-0.01932798755613108,-0.019494636751989373,-0.016627106783941227,-0.018691514199954386,0.001186971372449042,24,DRF,9.0,1.0,0.9,dummyID
59.547735404968265,11.554463178247227,8.396512317657471,0.8369498842057722,8,8,20,"OrderedDict([('min_node_size', 8), ('num_features', 8), ('num_trees', 20)])",-0.020087175186817782,-0.018108637642293264,-0.019442469398406593,-0.019666928745657137,-0.01675873252980492,-0.01881278870059594,0.001221891106417487,37,DRF,9.0,1.0,0.9,dummyID
59.11321396827698,11.596314829791888,8.281658220291138,0.7153258600483686,16,8,10,"OrderedDict([('min_node_size', 16), ('num_features', 8), ('num_trees', 10)])",-0.020157744220058026,-0.018161844464947435,-0.019530057310694522,-0.020099238681034814,-0.016913130563408447,-0.018972403048028646,0.0012556575088064647,41,DRF,9.0,1.0,0.9,dummyID
59.56929774284363,11.367328448744528,8.129741096496582,0.8592084639307636,4,8,10,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 10)])",-0.021130234302872142,-0.019635087601185618,-0.020176901196099762,-0.020206694498144138,-0.01770090164771477,-0.019769963849203286,0.0011406907878172548,49,DRF,9.0,1.0,0.9,dummyID
60.87228960990906,12.055928548678098,9.230297136306763,0.7816971553624602,32,8,250,"OrderedDict([('min_node_size', 32), ('num_features', 8), ('num_trees', 250)])",-0.01981357880919489,-0.01777611386463965,-0.019176506211136597,-0.019742245863257044,-0.016709684356504228,-0.01864362582094648,0.0012126354839399485,20,DRF,9.0,1.0,0.9,dummyID
60.11180801391602,11.780983731933146,8.414432382583618,0.8210648933284393,2,8,50,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 50)])",-0.01973395178547583,-0.01817102069706124,-0.01939971366462558,-0.0195723562884406,-0.016738144142220447,-0.01872303731556474,0.0011354034455851934,27,DRF,9.0,1.0,0.9,dummyID
61.350034952163696,12.061828640563629,8.649711275100708,0.8331874474016482,2,8,250,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",-0.019634411814621756,-0.017761472103841495,-0.01905788666327057,-0.019502375370131848,-0.01660239766731931,-0.018511708723836996,0.0011617673323162095,6,DRF,9.0,1.0,0.9,dummyID
60.32588262557984,12.05256794749474,8.141613721847534,0.8120890859021117,4,8,20,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 20)])",-0.02025847662680054,-0.01868376772982057,-0.019514500969049997,-0.019829948103804458,-0.017144565979097078,-0.019086251881714526,0.0010993388778257232,44,DRF,9.0,1.0,0.9,dummyID
63.917087936401366,12.514851957764646,8.397265768051147,0.8234932308507856,16,72,100,"OrderedDict([('min_node_size', 16), ('num_features', 72), ('num_trees', 100)])",-0.01982994616230511,-0.01782512870977534,-0.019122239348681645,-0.01960934507325699,-0.01670283945873926,-0.01861789975055167,0.001183412067436426,18,DRF,9.0,1.0,0.9,dummyID
