mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_node_size,param_num_features,param_num_trees,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name,cu,co,tau,variable
1.1428393840789794,0.040332231793017974,0.4223653793334961,0.006304959599714175,8,8,500,"OrderedDict([('min_node_size', 8), ('num_features', 8), ('num_trees', 500)])",-0.10882271502473481,-0.09474594282961557,-0.09728324074298941,-0.08979585830206563,-0.09372008637566953,-0.096873568655015,0.00644228462835899,14,DRF,9.0,1.0,0.9,16
0.7978338241577149,0.02518357527223004,0.3381165027618408,0.01047115746424907,4,8,50,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 50)])",-0.1057295736947509,-0.09441087730251825,-0.09802274268968714,-0.08803384787115846,-0.0950004404056863,-0.09623949639276022,0.00575244834361211,3,DRF,9.0,1.0,0.9,16
0.7087891101837158,0.004920060772023952,0.21157450675964357,0.0007821425964286766,8,8,20,"OrderedDict([('min_node_size', 8), ('num_features', 8), ('num_trees', 20)])",-0.10611467659505079,-0.09414886675533529,-0.09753210274234388,-0.09358678752749065,-0.09564100778554734,-0.09740468828115359,0.004564371582957066,17,DRF,9.0,1.0,0.9,16
0.7257246017456055,0.016020903690711727,0.21009697914123535,0.0014328056107215186,16,8,10,"OrderedDict([('min_node_size', 16), ('num_features', 8), ('num_trees', 10)])",-0.1093517619972251,-0.09437847987760017,-0.10330943824858502,-0.09222366780131422,-0.09872094940495012,-0.09959685946593493,0.006185531891413552,38,DRF,9.0,1.0,0.9,16
0.6707682132720947,0.0019941007809018566,0.19843015670776368,0.0007851742978649457,4,8,10,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 10)])",-0.10735692843544743,-0.09770751239520983,-0.10760833118870658,-0.09221098150740784,-0.1001385769817846,-0.10100446610171125,0.0058806436860235805,48,DRF,9.0,1.0,0.9,16
0.8112291812896728,0.011056866620674496,0.3316344738006592,0.01250421880851763,32,8,250,"OrderedDict([('min_node_size', 32), ('num_features', 8), ('num_trees', 250)])",-0.11336365420845416,-0.09518852316100809,-0.09875777470679313,-0.09041148048939787,-0.09409005029003817,-0.09836229657113829,0.007959114727522422,26,DRF,9.0,1.0,0.9,16
0.7850110530853271,0.00689913958588999,0.31946477890014646,0.0020604677894976073,2,8,50,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 50)])",-0.111373071572952,-0.09482989350763572,-0.09628819530144622,-0.08893949454921883,-0.09251795586533311,-0.09678972215931718,0.0077024749068601225,12,DRF,9.0,1.0,0.9,16
0.9362252235412598,0.021487724414329064,0.34636640548706055,0.04158068669131884,2,8,250,"OrderedDict([('min_node_size', 2), ('num_features', 8), ('num_trees', 250)])",-0.10736717375966347,-0.09380562018282769,-0.09667019519773193,-0.09037024071545711,-0.09348490016768436,-0.09633962600467291,0.005863792140255627,4,DRF,9.0,1.0,0.9,16
0.7221076011657714,0.0157275064061677,0.22737483978271483,0.04091629212052228,4,8,20,"OrderedDict([('min_node_size', 4), ('num_features', 8), ('num_trees', 20)])",-0.10615099122793611,-0.09587401359518245,-0.10292429482413544,-0.09393326133545914,-0.09231891790270101,-0.09824029577708285,0.005361557657358001,23,DRF,9.0,1.0,0.9,16
1.1206807613372802,0.03214930772109412,0.24991450309753419,0.002157039980194278,16,79,100,"OrderedDict([('min_node_size', 16), ('num_features', 79), ('num_trees', 100)])",-0.11306436724337343,-0.09615018581454637,-0.09677795969750899,-0.09009035429454894,-0.09379164922144895,-0.09797490325428534,0.0079008849845154,20,DRF,9.0,1.0,0.9,16
0.7253837585449219,0.06461227839823773,0.21145162582397461,0.004988857977960667,32,8,10,"OrderedDict([('min_node_size', 32), ('num_features', 8), ('num_trees', 10)])",-0.11399729778606812,-0.09785485936353662,-0.10292094405298319,-0.09029357610166613,-0.09495399235672643,-0.1000041339321961,0.00810844819192769,42,DRF,9.0,1.0,0.9,16
1.1473053455352784,0.06019018910602497,0.29592504501342776,0.010904425266925751,32,79,100,"OrderedDict([('min_node_size', 32), ('num_features', 79), ('num_trees', 100)])",-0.11488042688692673,-0.09573868307408448,-0.09987959562754378,-0.08968226253997907,-0.0938937806351566,-0.09881494975273812,0.008675486433347738,31,DRF,9.0,1.0,0.9,16
