binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
100,True,0.842592319054653,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
400,False,0.6902215657311671,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
400,True,0.7902658788774005,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
20,False,0.9680329578639968,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
20,True,1.2151051910125752,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
100,False,0.9172179510101912,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
100,True,1.107016210739615,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
400,False,0.9009923118183446,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
400,True,1.0524390607306755,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_NO2,air,,,,,,,,,
20,False,1.2920916677705654,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,True,1.5216584978142793,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,False,1.1499536362432106,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,True,1.345476222016161,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,False,1.10822625513313,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,True,1.264273413697178,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,False,1.7181097157964298,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,True,1.91027759418374,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,False,1.5667547918043614,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,True,1.769001982815597,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,False,1.4239920687376066,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,True,1.6563119629874412,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,False,1.3850350740452069,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,True,1.6147700701480907,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,False,1.2537022603273578,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,True,1.4503117692907248,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,False,1.1689399844115358,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,True,1.3217069368667187,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,False,1.4880393996247658,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,True,1.594746716697936,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,False,1.3942307692307694,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,True,1.4892120075046906,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,False,1.355769230769231,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,True,1.4413696060037522,3,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,False,1.2546157148990984,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,True,1.3061399742378703,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,False,1.1882782310004292,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
100,True,1.2634177758694718,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
