"log_wage","male"
3.13954893683869,0
2.77954620280728,1
2.83893258555516,0
2.65926003693278,1
4.21740465497933,0
2.32278780031156,0
3.63651146859662,1
2.64556119257462,0
3.13371801652789,0
2.21742728465374,0
2.91057446521368,1
2.58515206477906,0
3.278299245339,1
4.536541679599,0
2.6228923927619,0
2.83361342407756,0
3.93222571274567,0
3.13998762954149,1
2.88240358824699,1
2.56394985712845,0
3.14946637349603,0
3.61477148196021,1
3.82686519708784,1
3.43792939093089,0
1.6594935829013,0
3.2754461763566,1
2.41809798011589,0
2.45631919293609,0
2.28888624863588,0
2.45631919293609,0
4.21757949543785,1
2.94336428803668,0
3.80439234123578,1
3.69333380446332,0
4.33769082085383,1
3.32341968061947,1
2.28888624863588,1
2.72825290841973,0
4.08064571786394,1
2.86252476757198,1
3.54656323193368,1
3.06472514504094,1
4.72068307310994,1
3.93222571274567,0
3.19825653766546,1
2.69435135674405,0
3.44771739729705,1
2.50510935710552,1
2.20500476465518,1
6.17470688167001,0
2.42814831596939,0
3.76970678324789,0
2.88240358824699,0
2.13682325223911,0
2.16863712048431,0
3.82686519708784,1
3.01593498087151,1
2.32278780031156,1
2.7348974511384,1
3.23907853218572,0
2.9379734394018,1
3.2588811594819,1
2.85341605137374,1
3.2973474403097,1
3.19028836801629,1
3.23907853218572,1
3.516710268784,0
3.45776773315055,0
4.15536926405988,1
3.23907853218572,0
3.31266688884321,0
3.06472514504094,0
3.01593498087151,0
2.39178067179852,1
3.56116203135483,1
3.07420388899549,1
3.01593498087151,0
2.08639902224733,0
4.19458997721316,1
3.42140008897967,1
2.61046987276335,1
3.45418991180267,0
0.61803970807314,1
1.81196217654557,0
4.232330305196,1
2.72825290841973,0
3.64454364029388,1
3.01593498087151,0
3.23907853218572,1
3.01593498087151,1
3.65778886704391,1
2.65926003693278,0
2.76747362157301,1
2.09964424899736,1
3.70908216143146,0
3.18298906553468,1
3.01593498087151,0
2.34259042760774,0
3.95420461946444,0
3.6682601669112,1
3.30361705332329,1
3.73377477402183,1
4.37048064367682,1
1.62964061975162,1
2.7927914295573,0
2.65926003693278,0
2.88240358824699,0
2.83361342407756,1
3.31073452109216,0
2.83361342407756,1
2.75131818135073,1
3.76735106955543,1
3.13371801652789,1
2.16026887081379,0
2.80829561609327,1
1.62964061975162,0
3.13371801652789,0
3.70908216143146,0
2.32278780031156,1
2.60308976546572,0
3.65778886704391,1
3.03818558980633,1
2.72825290841973,1
2.23122060678607,1
3.13573618068413,1
3.27376409017361,0
2.58515206477906,1
3.72013199761804,1
2.51515969295902,1
2.54593135162578,1
3.23104636048846,1
2.54593135162578,1
3.516710268784,0
2.32278780031156,1
2.371577964481,1
3.59575347612445,1
4.17908579067719,1
2.86511209113693,0
5.41383025366988,1
3.03573760816769,0
3.57555076880693,0
4.03658572806991,0
3.70908216143146,0
3.83424530438546,0
2.33273813116473,0
1.62964061975162,0
2.09964424899736,0
3.23907853218572,1
3.45418991180267,1
3.26724940915242,1
2.14843441316679,1
3.97144642589895,1
3.33438871199005,1
3.48593861011725,0
3.30361705332329,0
3.74830287458474,0
3.74830287458474,0
3.13371801652789,1
3.36424167513973,1
3.53174814614854,1
3.516710268784,1
3.23907853218572,1
4.11454726953962,0
3.06472514504094,1
3.57555076880693,0
2.72825290841973,0
3.79423996977176,1
3.30860459483433,0
2.26562938647162,0
3.82686519708784,1
2.70578005256767,0
2.32278780031156,1
4.49184150068109,0
2.20500476465518,0
2.21742728465374,0
4.0192370897353,1
3.93222571274567,1
3.20597858375938,1
2.50510935710552,0
3.06722827525906,0
3.53174814614854,1
3.35240721749272,1
3.07420388899549,1
2.54593135162578,1
2.69748124975298,0
2.77298880226112,0
4.02753589254999,1
3.70908216143146,1
3.64454364029388,1
2.6228923927619,0
1.9173226922034,1
5.17233756368748,1
4.06130275502081,1
2.83361342407756,0
3.19028836801629,1
2.4097991773012,1
2.86640324690055,0
2.94067249637096,1
2.65926003693278,1
3.64454364029388,1
4.57407959891806,1
1.81196217654557,0
2.70578005256767,0
3.48593861011725,1
3.23306045986016,0
3.19825653766546,1
2.96464168648396,0
3.48593861011725,0
3.97144642589895,0
3.42140008897967,0
3.64333078386868,1
3.70908216143146,0
3.30928279085897,1
2.32278780031156,0
3.42140008897967,1
4.07198765512082,1
2.02268320786123,1
3.12129549652934,0
3.42140008897967,1
3.50144279665321,1
5.07005871456706,0
2.21742728465374,1
3.97144642589895,0
2.54593135162578,0
5.31852007386556,1
3.278299245339,1
2.72825290841973,0
3.01593498087151,1
3.93222571274567,0
2.80932073150851,0
3.278299245339,0
2.44795094326557,0
3.19825653766546,0
2.95877656703156,0
3.38365976099683,0
2.34259042760774,0
1.87650069768315,0
2.92436778734602,0
2.58515206477906,1
2.54593135162578,0
2.7927914295573,0
2.89940116461556,1
2.72825290841973,1
3.03082359336526,1
2.76104273124272,0
3.33178793028999,1
2.34259042760774,0
2.7927914295573,0
3.12254471592977,0
2.81233602563027,1
3.43941859448235,1
3.76314938270173,0
4.868319071916,1
3.06472514504094,0
3.23907853218572,1
2.17968695667089,0
3.60372164577363,1
3.278299245339,1
2.53250833129363,0
3.93222571274567,1
3.13371801652789,1
3.54656323193368,1
3.11124516067584,0
4.06130275502081,0
4.11454726953962,1
3.50144279665321,0
3.18567775545861,0
3.19825653766546,0
4.05973903304463,0
3.07420388899549,0
3.81444267708928,1
2.23940619137251,1
2.38587177573814,1
3.19825653766546,0
2.72825290841973,0
3.76314938270173,1
3.63112061996174,0
2.03510572785978,0
3.278299245339,0
3.33438871199005,0
2.42814831596939,0
1.1833535171232,0
3.80439234123578,1
3.01092243904797,1
2.95139645973394,0
5.11344152994899,1
3.5267606046375,1
3.57555076880693,0
4.21990778519745,1
4.94503801161044,1
3.35240721749272,0
2.54593135162578,1
4.5474113518359,1
3.90176650526096,1
3.11502588351574,1
4.06575710537019,1
3.59951995891993,1
2.54593135162578,0
3.48593861011725,1
3.19825653766546,1
2.91057446521368,0
3.07655960268795,0
3.76970678324789,0
4.11454726953962,1
3.85811774059194,1
1.40649706843741,0
2.54593135162578,0
3.87035030902758,0
2.27149450592401,0
1.96611285637283,0
3.61377198162713,1
3.278299245339,1
2.69051258043688,0
3.60372164577363,1
2.76104273124272,1
3.06472514504094,0
3.23907853218572,0
2.72825290841973,1
3.70908216143146,1
3.45418991180267,0
3.11124516067584,0
3.23907853218572,1
3.70908216143146,1
